pi,interval,color
1,"[2024-07-11 05:02:04, 2024-07-11 16:00:01]",cnt
1,"[2024-07-12 05:02:02, 2024-07-12 16:00:00]",cnt
1,"[2024-07-13 05:02:00, 2024-07-13 13:41:57]",cnt
1,"[2024-07-13 13:44:28, 2024-07-13 15:59:59]",cnt
1,"[2024-07-14 05:02:33, 2024-07-14 16:00:00]",cnt
1,"[2024-07-15 05:02:01, 2024-07-15 14:56:59]",cnt
1,"[2024-07-18 11:10:32, 2024-07-18 19:59:59]",grn
1,"[2024-07-19 05:01:04, 2024-07-19 20:00:00]",grn
1,"[2024-07-20 05:01:04, 2024-07-20 13:11:53]",grn
1,"[2024-07-20 13:23:52, 2024-07-20 13:24:34]",grn
1,"[2024-07-20 13:36:32, 2024-07-20 13:36:33]",grn
1,"[2024-07-20 21:03:51, 2024-07-20 21:03:51]",grn
1,"[2024-07-21 05:01:05, 2024-07-21 20:00:00]",grn
1,"[2024-07-22 05:01:05, 2024-07-22 19:59:59]",grn
1,"[2024-07-23 05:01:05, 2024-07-23 08:22:57]",grn
1,"[2024-07-23 20:31:59, 2024-07-23 20:31:59]",grn
1,"[2024-07-24 06:00:57, 2024-07-24 19:59:59]",blv
1,"[2024-07-25 06:00:57, 2024-07-25 19:36:52]",blv
1,"[2024-07-25 19:48:42, 2024-07-25 19:49:24]",blv
1,"[2024-07-25 20:33:14, 2024-07-25 20:33:14]",blv
1,"[2024-07-25 20:45:53, 2024-07-25 20:45:53]",blv
1,"[2024-07-26 06:01:04, 2024-07-26 20:00:00]",blv
1,"[2024-07-27 06:01:06, 2024-07-27 14:37:54]",blv
1,"[2024-07-27 14:39:27, 2024-07-27 19:59:59]",blv
1,"[2024-07-28 06:00:57, 2024-07-28 19:59:59]",blv
1,"[2024-07-29 06:00:58, 2024-07-29 19:22:42]",blv
1,"[2024-07-29 19:25:05, 2024-07-29 19:59:59]",blv
1,"[2024-07-30 06:01:05, 2024-07-30 19:59:59]",blv
1,"[2024-07-31 06:01:05, 2024-07-31 19:59:59]",blv
1,"[2024-08-01 06:01:07, 2024-08-01 07:34:37]",blv
1,"[2024-08-01 10:37:06, 2024-08-01 19:59:59]",blv
1,"[2024-08-02 06:00:58, 2024-08-02 17:29:13]",blv
1,"[2024-08-02 17:31:01, 2024-08-02 19:59:59]",blv
1,"[2024-08-03 06:01:04, 2024-08-03 19:59:59]",blv
1,"[2024-08-04 06:01:04, 2024-08-04 15:47:05]",blv
1,"[2024-08-06 06:01:00, 2024-08-06 19:59:59]",blv
1,"[2024-08-07 06:01:00, 2024-08-07 15:12:53]",blv
1,"[2024-08-07 20:07:24, 2024-08-07 20:07:24]",blv
1,"[2024-08-08 06:01:06, 2024-08-08 20:00:00]",blv
1,"[2024-08-09 06:01:05, 2024-08-09 12:02:33]",blv
1,"[2024-08-09 12:04:08, 2024-08-09 19:59:59]",blv
1,"[2024-08-10 06:01:01, 2024-08-10 19:59:59]",blv
1,"[2024-08-11 06:01:02, 2024-08-11 08:06:01]",blv
1,"[2024-08-12 20:22:57, 2024-08-12 20:22:57]",blv
1,"[2024-08-13 06:01:06, 2024-08-13 19:59:59]",blv
1,"[2024-08-14 06:01:05, 2024-08-14 19:43:37]",blv
1,"[2024-08-15 16:42:19, 2024-08-15 19:59:59]",grn
1,"[2024-08-16 06:01:03, 2024-08-16 19:59:59]",grn
1,"[2024-08-17 06:01:02, 2024-08-17 19:59:59]",grn
1,"[2024-08-18 06:01:04, 2024-08-18 10:07:10]",grn
1,"[2024-08-19 15:49:02, 2024-08-19 19:59:59]",grn
1,"[2024-08-20 06:01:06, 2024-08-20 19:59:59]",grn
1,"[2024-08-21 06:01:09, 2024-08-21 18:45:16]",grn
1,"[2024-08-22 15:45:04, 2024-08-22 15:56:04]",grn
1,"[2024-08-22 17:56:00, 2024-08-22 17:56:38]",grn
1,"[2024-08-22 17:57:50, 2024-08-22 19:59:59]",grn
1,"[2024-08-23 06:01:06, 2024-08-23 19:59:59]",grn
1,"[2024-08-24 06:01:06, 2024-08-24 19:59:59]",grn
1,"[2024-08-25 06:01:07, 2024-08-25 10:00:32]",grn
1,"[2024-08-25 10:02:22, 2024-08-25 19:59:59]",grn
1,"[2024-08-26 06:01:06, 2024-08-26 19:59:59]",grn
1,"[2024-08-27 06:01:06, 2024-08-27 17:28:03]",grn
1,"[2024-08-28 01:30:58, 2024-08-28 01:30:58]",grn
1,"[2024-08-28 01:40:21, 2024-08-28 01:40:21]",grn
1,"[2024-08-28 01:46:54, 2024-08-28 01:46:54]",grn
1,"[2024-08-28 09:48:41, 2024-08-28 19:59:59]",grn
1,"[2024-08-29 06:01:07, 2024-08-29 19:59:59]",grn
1,"[2024-08-30 06:01:08, 2024-08-30 10:34:13]",grn
1,"[2024-09-03 10:01:39, 2024-09-03 19:59:59]",blv
1,"[2024-09-04 06:01:08, 2024-09-04 19:59:59]",blv
1,"[2024-09-05 06:01:08, 2024-09-05 12:08:21]",blv
1,"[2024-09-05 12:10:07, 2024-09-05 18:59:59]",blv
1,"[2024-09-06 08:01:08, 2024-09-06 18:59:59]",blv
1,"[2024-09-07 08:01:10, 2024-09-07 10:12:04]",blv
2,"[2024-07-11 05:02:07, 2024-07-11 16:00:00]",blv
2,"[2024-07-12 05:01:57, 2024-07-12 16:00:00]",blv
2,"[2024-07-13 05:02:01, 2024-07-13 13:30:43]",blv
2,"[2024-07-13 17:44:18, 2024-07-13 17:44:18]",blv
2,"[2024-07-13 18:51:34, 2024-07-13 18:51:34]",blv
2,"[2024-07-14 05:01:59, 2024-07-14 15:59:59]",blv
2,"[2024-07-15 05:01:58, 2024-07-15 14:01:13]",blv
2,"[2024-07-18 10:34:11, 2024-07-18 20:00:00]",blv
2,"[2024-07-19 05:01:03, 2024-07-19 19:59:59]",blv
2,"[2024-07-20 05:01:04, 2024-07-20 08:35:34]",blv
2,"[2024-07-20 08:47:34, 2024-07-20 08:48:11]",blv
2,"[2024-07-20 09:00:10, 2024-07-20 09:00:11]",blv
2,"[2024-07-20 21:02:07, 2024-07-20 21:02:07]",blv
2,"[2024-07-20 21:20:56, 2024-07-20 21:20:56]",blv
2,"[2024-07-21 05:01:05, 2024-07-21 20:00:00]",blv
2,"[2024-07-22 05:01:04, 2024-07-22 17:37:32]",blv
2,"[2024-07-22 17:49:31, 2024-07-22 17:50:35]",blv
2,"[2024-07-22 18:02:35, 2024-07-22 18:03:05]",blv
2,"[2024-07-22 18:15:04, 2024-07-22 18:15:19]",blv
2,"[2024-07-22 18:27:18, 2024-07-22 18:27:24]",blv
2,"[2024-07-22 18:39:23, 2024-07-22 18:39:27]",blv
2,"[2024-07-22 18:51:26, 2024-07-22 18:51:26]",blv
2,"[2024-07-22 19:03:25, 2024-07-22 19:03:25]",blv
2,"[2024-07-22 19:51:21, 2024-07-22 19:51:25]",blv
2,"[2024-07-23 20:24:46, 2024-07-23 20:24:46]",blv
2,"[2024-07-24 06:00:57, 2024-07-24 19:59:59]",cnt
2,"[2024-07-25 06:00:57, 2024-07-25 19:59:59]",cnt
2,"[2024-07-25 20:29:46, 2024-07-25 20:29:46]",cnt
2,"[2024-07-26 06:01:04, 2024-07-26 19:59:59]",cnt
2,"[2024-07-27 06:01:05, 2024-07-27 14:35:04]",cnt
2,"[2024-07-27 14:36:38, 2024-07-27 19:59:59]",cnt
2,"[2024-07-28 06:00:56, 2024-07-28 19:59:59]",cnt
2,"[2024-07-29 06:00:57, 2024-07-29 19:19:40]",cnt
2,"[2024-07-29 19:21:46, 2024-07-29 19:59:59]",cnt
2,"[2024-07-30 06:01:05, 2024-07-30 19:59:59]",cnt
2,"[2024-07-31 06:01:05, 2024-07-31 19:59:59]",cnt
2,"[2024-08-01 06:01:05, 2024-08-01 09:42:30]",cnt
2,"[2024-08-01 10:36:17, 2024-08-01 19:59:59]",cnt
2,"[2024-08-02 06:00:57, 2024-08-02 17:28:26]",cnt
2,"[2024-08-02 17:30:15, 2024-08-02 20:00:00]",cnt
2,"[2024-08-03 06:01:05, 2024-08-03 19:59:59]",cnt
2,"[2024-08-04 06:01:07, 2024-08-04 19:59:59]",cnt
2,"[2024-08-05 06:01:05, 2024-08-05 07:52:17]",cnt
2,"[2024-08-06 06:00:57, 2024-08-06 19:59:59]",cnt
2,"[2024-08-07 06:00:57, 2024-08-07 18:57:01]",cnt
2,"[2024-08-07 20:08:16, 2024-08-07 20:08:16]",cnt
2,"[2024-08-08 06:01:05, 2024-08-08 19:59:59]",cnt
2,"[2024-08-09 06:01:05, 2024-08-09 12:01:31]",cnt
2,"[2024-08-09 12:03:03, 2024-08-09 19:59:59]",cnt
2,"[2024-08-10 06:00:56, 2024-08-10 19:59:59]",cnt
2,"[2024-08-11 06:00:57, 2024-08-11 15:06:09]",cnt
2,"[2024-08-12 20:21:10, 2024-08-12 20:21:10]",cnt
2,"[2024-08-13 06:01:07, 2024-08-13 19:59:59]",cnt
2,"[2024-08-14 06:01:07, 2024-08-14 19:59:59]",cnt
2,"[2024-08-15 06:01:06, 2024-08-15 13:32:22]",cnt
2,"[2024-08-15 16:42:40, 2024-08-15 19:59:59]",blv
2,"[2024-08-16 06:00:57, 2024-08-16 19:59:59]",blv
2,"[2024-08-17 06:00:57, 2024-08-17 16:47:32]",blv
2,"[2024-08-19 17:47:00, 2024-08-19 19:59:59]",blv
2,"[2024-08-20 06:01:07, 2024-08-20 19:59:59]",blv
2,"[2024-08-21 06:01:07, 2024-08-21 19:59:59]",blv
2,"[2024-08-22 06:01:06, 2024-08-22 06:23:59]",blv
2,"[2024-08-22 17:42:49, 2024-08-22 19:59:59]",blv
2,"[2024-08-23 06:01:00, 2024-08-23 19:59:59]",blv
2,"[2024-08-24 06:00:59, 2024-08-24 19:59:59]",blv
2,"[2024-08-25 06:00:59, 2024-08-25 09:58:35]",blv
2,"[2024-08-25 10:00:19, 2024-08-25 19:59:59]",blv
2,"[2024-08-26 06:01:06, 2024-08-26 19:59:59]",blv
2,"[2024-08-27 06:01:06, 2024-08-27 11:36:54]",blv
2,"[2024-08-28 09:28:39, 2024-08-28 19:59:59]",blv
2,"[2024-08-29 06:01:00, 2024-08-29 20:00:00]",blv
2,"[2024-08-30 06:01:01, 2024-08-30 10:11:44]",blv
2,"[2024-09-03 10:07:49, 2024-09-03 20:00:00]",cnt
2,"[2024-09-04 06:01:07, 2024-09-04 19:59:59]",cnt
2,"[2024-09-05 06:01:07, 2024-09-05 12:10:00]",cnt
2,"[2024-09-05 12:11:29, 2024-09-05 19:00:00]",cnt
2,"[2024-09-06 08:01:01, 2024-09-06 18:59:59]",cnt
2,"[2024-09-07 08:01:02, 2024-09-07 18:59:59]",cnt
2,"[2024-09-08 08:01:03, 2024-09-08 14:04:41]",cnt
3,"[2024-07-13 13:25:45, 2024-07-13 16:00:00]",blu
3,"[2024-07-14 05:01:55, 2024-07-14 16:00:00]",blu
3,"[2024-07-15 05:01:54, 2024-07-15 16:00:00]",blu
3,"[2024-07-16 05:01:55, 2024-07-16 06:36:56]",blu
3,"[2024-07-16 06:49:52, 2024-07-16 06:51:43]",blu
3,"[2024-07-16 07:04:39, 2024-07-16 07:05:31]",blu
3,"[2024-07-16 07:18:26, 2024-07-16 07:18:50]",blu
3,"[2024-07-16 07:31:45, 2024-07-16 07:31:49]",blu
3,"[2024-07-16 07:44:43, 2024-07-16 07:44:50]",blu
3,"[2024-07-16 07:57:46, 2024-07-16 07:57:48]",blu
3,"[2024-07-16 08:10:43, 2024-07-16 08:10:43]",blu
3,"[2024-07-16 08:23:38, 2024-07-16 08:23:38]",blu
3,"[2024-07-18 11:00:27, 2024-07-18 19:59:59]",blu
3,"[2024-07-19 05:01:04, 2024-07-19 19:59:59]",blu
3,"[2024-07-20 05:01:03, 2024-07-20 07:46:46]",blu
3,"[2024-07-20 07:58:45, 2024-07-20 07:59:41]",blu
3,"[2024-07-20 08:11:40, 2024-07-20 08:11:41]",blu
3,"[2024-07-20 21:00:05, 2024-07-20 21:00:05]",blu
3,"[2024-07-20 21:21:25, 2024-07-20 21:21:25]",blu
3,"[2024-07-21 05:01:04, 2024-07-21 19:59:59]",blu
3,"[2024-07-22 05:01:06, 2024-07-22 15:21:35]",blu
3,"[2024-07-22 15:33:34, 2024-07-22 15:34:39]",blu
3,"[2024-07-22 15:46:39, 2024-07-22 15:47:11]",blu
3,"[2024-07-22 15:59:09, 2024-07-22 15:59:25]",blu
3,"[2024-07-22 16:11:23, 2024-07-22 16:11:31]",blu
3,"[2024-07-22 16:23:28, 2024-07-22 16:23:31]",blu
3,"[2024-07-22 16:35:31, 2024-07-22 16:35:31]",blu
3,"[2024-07-22 16:47:31, 2024-07-22 16:47:31]",blu
3,"[2024-07-22 17:23:31, 2024-07-22 17:23:34]",blu
3,"[2024-07-23 20:21:04, 2024-07-23 20:21:04]",blu
3,"[2024-07-24 06:00:57, 2024-07-24 19:59:59]",grn
3,"[2024-07-25 06:00:57, 2024-07-25 19:59:59]",grn
3,"[2024-07-25 20:30:20, 2024-07-25 20:30:20]",grn
3,"[2024-07-25 20:45:25, 2024-07-25 20:45:25]",grn
3,"[2024-07-26 06:01:05, 2024-07-26 19:59:59]",grn
3,"[2024-07-27 06:01:05, 2024-07-27 14:34:43]",grn
3,"[2024-07-27 14:36:24, 2024-07-27 19:59:59]",grn
3,"[2024-07-28 06:00:57, 2024-07-28 19:59:59]",grn
3,"[2024-07-29 06:00:57, 2024-07-29 19:19:33]",grn
3,"[2024-07-29 19:21:35, 2024-07-29 19:59:59]",grn
3,"[2024-07-30 06:01:05, 2024-07-30 19:59:59]",grn
3,"[2024-07-31 06:01:05, 2024-07-31 19:59:59]",grn
3,"[2024-08-01 06:01:05, 2024-08-01 08:36:36]",grn
3,"[2024-08-01 10:39:06, 2024-08-01 19:59:59]",grn
3,"[2024-08-02 06:00:57, 2024-08-02 17:31:33]",grn
3,"[2024-08-02 17:33:25, 2024-08-02 19:59:59]",grn
3,"[2024-08-03 06:01:04, 2024-08-03 19:59:59]",grn
3,"[2024-08-04 06:01:06, 2024-08-04 20:00:00]",grn
3,"[2024-08-05 06:01:05, 2024-08-05 12:13:57]",grn
3,"[2024-08-06 06:00:57, 2024-08-06 19:59:59]",grn
3,"[2024-08-07 06:00:57, 2024-08-07 15:07:14]",grn
3,"[2024-08-07 20:11:13, 2024-08-07 20:11:13]",grn
3,"[2024-08-08 06:01:06, 2024-08-08 19:59:59]",grn
3,"[2024-08-09 06:01:05, 2024-08-09 12:03:58]",grn
3,"[2024-08-09 12:05:34, 2024-08-09 20:00:00]",grn
3,"[2024-08-10 06:00:58, 2024-08-10 19:59:59]",grn
3,"[2024-08-11 06:00:58, 2024-08-11 19:14:08]",grn
3,"[2024-08-12 16:13:36, 2024-08-12 16:20:20]",grn
3,"[2024-08-12 16:22:04, 2024-08-12 16:22:42]",grn
3,"[2024-08-15 17:00:36, 2024-08-15 19:59:59]",cnt
3,"[2024-08-16 06:00:59, 2024-08-16 19:59:59]",cnt
3,"[2024-08-17 06:00:58, 2024-08-17 16:27:44]",cnt
3,"[2024-08-19 09:08:20, 2024-08-19 09:24:18]",cnt
3,"[2024-08-19 09:25:35, 2024-08-19 09:25:46]",cnt
3,"[2024-08-19 18:07:00, 2024-08-19 18:08:19]",cnt
3,"[2024-08-19 18:09:58, 2024-08-19 19:59:59]",cnt
3,"[2024-08-20 06:01:07, 2024-08-20 19:59:59]",cnt
3,"[2024-08-21 06:01:07, 2024-08-21 14:39:05]",cnt
3,"[2024-08-22 17:45:15, 2024-08-22 19:59:59]",cnt
3,"[2024-08-23 06:01:00, 2024-08-23 19:59:59]",cnt
3,"[2024-08-24 06:00:58, 2024-08-24 19:59:59]",cnt
3,"[2024-08-25 06:00:59, 2024-08-25 10:00:57]",cnt
3,"[2024-08-25 10:02:42, 2024-08-25 19:59:59]",cnt
3,"[2024-08-26 06:01:06, 2024-08-26 19:59:59]",cnt
3,"[2024-08-27 06:01:08, 2024-08-27 10:38:50]",cnt
3,"[2024-08-28 09:31:00, 2024-08-28 19:59:59]",cnt
3,"[2024-08-29 06:01:00, 2024-08-29 19:59:59]",cnt
3,"[2024-08-30 06:01:02, 2024-08-30 12:53:54]",cnt
3,"[2024-09-03 10:11:52, 2024-09-03 19:59:59]",blu
3,"[2024-09-04 06:01:08, 2024-09-04 19:59:59]",blu
3,"[2024-09-05 06:01:07, 2024-09-05 12:09:59]",blu
3,"[2024-09-05 12:11:37, 2024-09-05 18:59:59]",blu
3,"[2024-09-06 08:01:04, 2024-09-06 18:59:59]",blu
3,"[2024-09-07 08:01:04, 2024-09-07 18:59:59]",blu
3,"[2024-09-08 08:01:05, 2024-09-08 09:27:01]",blu
4,"[2024-07-11 05:02:00, 2024-07-11 15:59:59]",grn
4,"[2024-07-12 05:02:02, 2024-07-12 16:00:00]",grn
4,"[2024-07-13 05:02:01, 2024-07-13 13:29:03]",grn
4,"[2024-07-13 13:32:17, 2024-07-13 16:00:00]",grn
4,"[2024-07-14 05:02:02, 2024-07-14 15:59:59]",grn
4,"[2024-07-15 05:02:02, 2024-07-15 16:00:01]",grn
4,"[2024-07-16 05:02:21, 2024-07-16 11:26:03]",grn
4,"[2024-07-18 10:28:24, 2024-07-18 19:59:59]",cnt
4,"[2024-07-19 05:01:04, 2024-07-19 19:59:59]",cnt
4,"[2024-07-20 05:01:03, 2024-07-20 09:25:41]",cnt
4,"[2024-07-20 09:37:41, 2024-07-20 09:38:21]",cnt
4,"[2024-07-20 09:50:19, 2024-07-20 09:50:20]",cnt
4,"[2024-07-20 20:58:11, 2024-07-20 20:58:11]",cnt
4,"[2024-07-21 05:01:04, 2024-07-21 19:59:59]",cnt
