color,date,count
blu,2024-07-11,18400
blu,2024-07-12,18400
blu,2024-07-13,26524
blu,2024-07-14,53297
blu,2024-07-15,35075
blu,2024-07-16,5187
blu,2024-07-18,50270
blu,2024-07-19,99545
blu,2024-07-20,28762
blu,2024-07-21,99515
blu,2024-07-22,74508
blu,2024-07-23,2
blu,2024-07-24,92764
blu,2024-07-25,92762
blu,2024-07-26,92699
blu,2024-07-27,92518
blu,2024-07-28,92726
blu,2024-07-29,88513
blu,2024-07-30,92790
blu,2024-07-31,87389
blu,2024-08-01,62324
blu,2024-08-02,92930
blu,2024-08-03,94014
blu,2024-08-04,78107
blu,2024-08-05,1
blu,2024-08-06,93591
blu,2024-08-07,68656
blu,2024-08-08,93397
blu,2024-08-09,93210
blu,2024-08-10,93546
blu,2024-08-11,22307
blu,2024-08-12,2
blu,2024-08-13,94128
blu,2024-08-14,93259
blu,2024-08-15,27502
blu,2024-08-16,94682
blu,2024-08-17,80406
blu,2024-08-18,18684
blu,2024-08-19,21957
blu,2024-08-20,93716
blu,2024-08-21,92558
blu,2024-08-22,44540
blu,2024-08-23,94549
blu,2024-08-24,94796
blu,2024-08-25,93608
blu,2024-08-26,94105
blu,2024-08-27,52423
blu,2024-08-28,69870
blu,2024-08-29,93945
blu,2024-08-30,35677
blu,2024-09-03,64622
blu,2024-09-04,93823
blu,2024-09-05,85594
blu,2024-09-06,74413
blu,2024-09-07,74407
blu,2024-09-08,13224
blv,2024-07-11,18243
blv,2024-07-12,18339
blv,2024-07-13,22547
blv,2024-07-14,53383
blv,2024-07-15,50038
blv,2024-07-16,6910
blv,2024-07-18,61430
blv,2024-07-19,99580
blv,2024-07-20,18956
blv,2024-07-21,99520
blv,2024-07-22,86239
blv,2024-07-23,2
blv,2024-07-24,92846
blv,2024-07-25,91510
blv,2024-07-26,92720
blv,2024-07-27,92583
blv,2024-07-28,92732
blv,2024-07-29,92677
blv,2024-07-30,92682
blv,2024-07-31,92870
blv,2024-08-01,95891
blv,2024-08-02,77326
blv,2024-08-03,93659
blv,2024-08-04,72236
blv,2024-08-06,93636
blv,2024-08-07,30789
blv,2024-08-08,93244
blv,2024-08-09,93393
blv,2024-08-10,93144
blv,2024-08-11,6984
blv,2024-08-12,2
blv,2024-08-13,94051
blv,2024-08-14,92367
blv,2024-08-15,23307
blv,2024-08-16,94528
blv,2024-08-17,71135
blv,2024-08-19,14630
blv,2024-08-20,94045
blv,2024-08-21,94378
blv,2024-08-22,42362
blv,2024-08-23,94350
blv,2024-08-24,94259
blv,2024-08-25,93636
blv,2024-08-26,93728
blv,2024-08-27,46408
blv,2024-08-28,70376
blv,2024-08-29,93864
blv,2024-08-30,27408
blv,2024-09-03,64647
blv,2024-09-04,93872
blv,2024-09-05,87242
blv,2024-09-06,73970
blv,2024-09-07,44378
blv,2024-09-08,11541
cnt,2024-07-11,36645
cnt,2024-07-12,36189
cnt,2024-07-13,36194
cnt,2024-07-14,36469
cnt,2024-07-15,34589
cnt,2024-07-16,6102
cnt,2024-07-18,60399
cnt,2024-07-19,99378
cnt,2024-07-20,39133
cnt,2024-07-21,99372
cnt,2024-07-22,98389
cnt,2024-07-23,18742
cnt,2024-07-24,92768
cnt,2024-07-25,92697
cnt,2024-07-26,92684
cnt,2024-07-27,92534
cnt,2024-07-28,92704
cnt,2024-07-29,92590
cnt,2024-07-30,92663
cnt,2024-07-31,92714
cnt,2024-08-01,90284
cnt,2024-08-02,94048
cnt,2024-08-03,94207
cnt,2024-08-04,93477
cnt,2024-08-05,13415
cnt,2024-08-06,94094
cnt,2024-08-07,90691
cnt,2024-08-08,94115
cnt,2024-08-09,93921
cnt,2024-08-10,94232
cnt,2024-08-11,61473
cnt,2024-08-12,2
cnt,2024-08-13,94430
cnt,2024-08-14,93858
cnt,2024-08-15,65866
cnt,2024-08-16,94512
cnt,2024-08-17,45812
cnt,2024-08-19,14204
cnt,2024-08-20,94028
cnt,2024-08-21,76288
cnt,2024-08-22,45393
cnt,2024-08-23,94028
cnt,2024-08-24,94598
cnt,2024-08-25,93900
cnt,2024-08-26,93663
cnt,2024-08-27,59131
cnt,2024-08-28,70388
cnt,2024-08-29,94260
cnt,2024-08-30,38470
cnt,2024-09-03,64788
cnt,2024-09-04,94202
cnt,2024-09-05,87395
cnt,2024-09-06,74116
cnt,2024-09-07,74359
cnt,2024-09-08,43568
grn,2024-07-11,25775
grn,2024-07-12,35728
grn,2024-07-13,35760
grn,2024-07-14,34671
grn,2024-07-15,35528
grn,2024-07-16,26824
grn,2024-07-18,48949
grn,2024-07-19,99382
grn,2024-07-20,71477
grn,2024-07-21,99389
grn,2024-07-22,99388
grn,2024-07-23,37307
grn,2024-07-24,92764
grn,2024-07-25,92771
grn,2024-07-26,92746
grn,2024-07-27,92583
grn,2024-07-28,92770
grn,2024-07-29,71635
grn,2024-07-30,50555
grn,2024-07-31,46347
grn,2024-08-01,71455
grn,2024-08-02,94341
grn,2024-08-03,94524
grn,2024-08-04,93878
grn,2024-08-05,43794
grn,2024-08-06,94333
grn,2024-08-07,77962
grn,2024-08-08,94257
grn,2024-08-09,94113
grn,2024-08-10,94431
grn,2024-08-11,79288
grn,2024-08-12,419
grn,2024-08-13,47223
grn,2024-08-14,46780
grn,2024-08-15,41162
grn,2024-08-16,94834
grn,2024-08-17,94913
grn,2024-08-18,13919
grn,2024-08-19,21000
grn,2024-08-20,47024
grn,2024-08-21,43005
grn,2024-08-22,14776
grn,2024-08-23,47664
grn,2024-08-24,47583
grn,2024-08-25,46945
grn,2024-08-26,46828
grn,2024-08-27,38389
grn,2024-08-28,69449
grn,2024-08-29,94598
grn,2024-08-30,45139
grn,2024-09-03,65038
grn,2024-09-04,94347
grn,2024-09-05,87254
grn,2024-09-06,74030
grn,2024-09-07,74315
grn,2024-09-08,24814
yel,2024-07-11,36988
yel,2024-07-12,37030
yel,2024-07-13,36858
yel,2024-07-14,37014
yel,2024-07-15,18448
yel,2024-07-16,18451
yel,2024-07-18,57651
yel,2024-07-19,99356
yel,2024-07-20,92673
yel,2024-07-21,99417
yel,2024-07-22,99428
yel,2024-07-23,32571
yel,2024-07-24,92785
yel,2024-07-25,92735
yel,2024-07-26,92779
yel,2024-07-27,92584
yel,2024-07-28,92810
yel,2024-07-29,82568
yel,2024-07-30,93110
yel,2024-07-31,92770
yel,2024-08-01,91695
yel,2024-08-02,94754
yel,2024-08-03,94720
yel,2024-08-04,94139
yel,2024-08-05,49013
yel,2024-08-06,94666
yel,2024-08-07,80866
yel,2024-08-08,94291
yel,2024-08-09,94334
yel,2024-08-10,94615
yel,2024-08-11,66354
yel,2024-08-12,382
yel,2024-08-13,47048
yel,2024-08-14,47236
yel,2024-08-15,56216
yel,2024-08-16,95175
yel,2024-08-17,81593
yel,2024-08-18,18448
yel,2024-08-19,7606
yel,2024-08-20,47182
yel,2024-08-21,47703
yel,2024-08-22,36562
yel,2024-08-23,47791
yel,2024-08-24,47748
yel,2024-08-25,47756
yel,2024-08-26,47229
yel,2024-08-27,47482
yel,2024-08-28,36158
yel,2024-08-29,47623
yel,2024-08-30,42781
yel,2024-09-03,33030
yel,2024-09-04,47499
yel,2024-09-05,19085
