Date,Pi,Color
7/10,1,cnt
7/10,2,blv
7/10,3,blu
7/10,4,grn
7/10,5,yel
7/10,6,cnt
7/10,7,yel
7/10,8,blu
7/10,9,grn
7/10,10,blv
7/18,1,grn
7/18,2,blv
7/18,3,blu
7/18,4,cnt
7/18,5,yel
7/18,6,yel
7/18,7,blu
7/18,8,cnt
7/18,9,grn
7/18,10,blv
7/23,1,blv
7/23,2,cnt
7/23,3,grn
7/23,4,yel
7/23,5,blu
7/23,6,grn
7/23,7,cnt
7/23,8,yel
7/23,9,blv
7/23,10,blu
8/15,1,grn
8/15,2,blv
8/15,3,cnt
8/15,4,blu
8/15,5,yel
8/15,6,blv
8/15,7,yel
8/15,8,cnt
8/15,9,grn
8/15,10,blu
09/03,1,blv
09/03,2,cnt
09/03,3,blu
09/03,4,grn
09/03,5,yel
09/03,6,grn
09/03,7,blu
09/03,8,yel
09/03,9,cnt
09/03,10,blv